,순위,부제목,제목,상세보기링크,이벤트 정보,가격,추가정보,저자,출판사,출판연도
139,140,최상위로 올라가는 7가지 투자 습관,나는 투자로 30년을 벌었다,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791158512248,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서15,120원[10%↓ +5% 적립]|eBook13,500원","지금 주문하면내일(22일,금)도착 예정입니다",한정수,토네이도,2021년09월21일
140,141,공부에 지친 청소년들을 위한 힐링 에세이,이토록 공부가 재미있어지는 순간(30만 부 기념 양장 한정판 매직 에디션)(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791130604626,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서13,500원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",박성혁,다산북스,2020년07월27일
141,142,,이상한 과자 가게 전천당. 11(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791164063734,"['무료배송', 'MD의 선택', '소득공제']","도서10,800원[10%↓ +5% 적립]|eBook9,600원","지금 주문하면내일(22일,금)도착 예정입니다",히로시마레이코,길벗스쿨,2021년07월12일
142,143,"디지털 지구, 뜨는 것들의 세상",메타버스,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791189580575,"['무료배송', '이벤트', 'MD의 선택', 'sam', '소득공제']","도서15,300원[10%↓ +5% 적립]|eBook12,000원","지금 주문하면내일(22일,금)도착 예정입니다",김상균,플랜비디인,2020년12월18일
143,144,,나는 강물처럼 말해요(작은곰자리 49)(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791158362157,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서11,700원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",조던스콧,책읽는곰,2021년01월15일
144,145,,비전공자를 위한 이해할 수 있는 IT 지식,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791196918033,"['무료배송', '이벤트', 'MD의 선택', 'sam', '소득공제']","도서15,120원[10%↓ +5% 적립]|eBook12,000원","지금 주문하면내일(22일,금)도착 예정입니다",최원영,티블유아이지,2020년07월14일
145,146,나씨TV 비트코인 단타의 모든 것,가상화폐 단타의 정석,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788965183365,"['무료배송', '소득공제']","도서13,500원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",나씨,경향미디어,2021년09월08일
146,147,머릿속의 스위치를 끄고 싶을 때 보는 뇌과학 이야기,나는 왜 생각이 많을까?,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791190179874,"['무료배송', '오늘의책', '소득공제']","도서12,420원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",홋타슈고,서사원,2021년07월19일
147,148,,데미안(리커버 한정판)(초판본)(1919년 오리지널 초판본 패브릭 에디션)(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791159036514,"['무료배송', '이벤트', 'sam', '소득공제']","도서10,800원[10%↓ +5% 적립]|eBook2,200원","지금 주문하면내일(22일,금)도착 예정입니다",헤르만헤세,스토리,2017년10월30일
148,149,진짜 영어식 사고 쉽게 알려주는,세진 쌤의 바로 영어,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788927701514,"['무료배송', '이벤트', '소득공제']","도서12,150원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",박세진,다락원,2021년09월15일
149,150,"위대한 리더의 조건, 비전",모두를 움직이는 힘,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791135468407,"['무료배송', '소득공제']","도서16,020원[10%↓ +5% 적립]|eBook12,400원","지금 주문하면내일(22일,금)도착 예정입니다",마이클하얏트,로크미디어,2021년09월29일
150,151,상처 입은 내면아이와 화해하는 치유의 심리학,내 안의 어린아이가 울고 있다,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788901252148,"['무료배송', '오늘의책', 'sam', '소득공제']","도서16,200원[10%↓ +5% 적립]|eBook12,600원","지금 주문하면내일(22일,금)도착 예정입니다",니콜르페라,웅진지식하우스,2021년08월31일
151,152,히가시노 게이고 장편소설,나미야 잡화점의 기적(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788972756194,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서13,320원[10%↓ +5% 적립]|eBook10,000원","지금 주문하면내일(22일,금)도착 예정입니다",히가시노게이고,현대문학,2021년03월02일
152,153,대한민국의 정의에 대해 다시 생각해보는 세계적 베스트셀러,정의란 무엇인가(마이클 샌델),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788937834790,"['무료배송', '이벤트', '소득공제']","도서13,500원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",마이클샌델,와이즈베리,2014년11월20일
153,154,"사람과 숫자 모두를 얻는, 이 시대의 다른 리더",리더 디퍼런트,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788933871676,"['무료배송', '오늘의책', '소득공제']","도서16,920원[10%↓ +5% 적립]|eBook14,000원","지금 주문하면내일(22일,금)도착 예정입니다",사이먼시넥,세계사,2021년08월24일
154,155,,이렇게 맛있고 멋진 채식이라면. 3: 사계절이 내 안으로,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191183092,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서22,320원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",생강(신주하),혜다,2021년10월30일
155,156,"나폴레온 힐, 부와 성공의 원칙",생각하라 그리고 부자가 되어라,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191214376,"['무료배송', 'MD의 선택', 'sam', '소득공제']","도서16,200원[10%↓ +5% 적립]|eBook13,000원","지금 주문하면내일(22일,금)도착 예정입니다",나폴레온힐빌하틀리,반니,2021년01월05일
156,157,,지박소년 하나코군. 15,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791136743244,"['무료배송', '이벤트', 'MD의 선택', '한정판매', '소득공제']","도서5,400원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",AidaIro,서울미디어코믹스(서울문화사),2021년09월25일
157,158,염블리 염승환과 함께라면 주식이 쉽고 재미있다,주린이가 가장 알고 싶은 최다질문 TOP 77(교보 단독 리커버),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791160023459,"['무료배송', '이벤트', 'MD의 선택', '한정판매', '소득공제']","도서16,200원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",염승환,메이트북스,2021년07월26일
158,159,놓지 마 정신줄 학습 만화,놓지 마 과학!. 15: 사라진 마이아사우라의 호박 장식을 찾아라,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191766318,"['무료배송', '소득공제']","도서10,800원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",신태훈나승훈,위즈덤하우스,2021년08월18일
159,161,"펜트업, 멈췄던 소비가 폭발한다 지갑을 열 IT 기술들",모바일 미래보고서 2022,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791162542378,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서16,020원[10%↓ +5% 적립]|eBook12,460원","지금 주문하면내일(22일,금)도착 예정입니다",커넥팅랩,비즈니스북스,2021년09월28일
160,162,,연애시대(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191043365,"['무료배송', '이벤트', '소득공제']","도서15,300원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",노와히사시,모모,2021년09월08일
161,163,평범한 30대 직장인 아빠가 근로소득을 자본소득으로 바꾼 7단계투자공부법,더 늦기 전에  당신이 자본주의를  제대로  알면 좋겠습니다,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791165216801,"['무료배송', 'MD의 선택', '소득공제']","도서15,300원[10%↓ +5% 적립]|eBook11,900원","지금 주문하면내일(22일,금)도착 예정입니다",이희대,퀘스트,2021년09월15일
162,164,진중권이 파헤친 위선적인 정권의 민낯,이것이 우리가 원했던 나라인가,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788950997618,"['무료배송', '소득공제']","도서15,300원[10%↓ +5% 적립]|eBook13,600원","지금 주문하면내일(22일,금)도착 예정입니다",진중권,21세북스,2021년10월06일
163,165,호스피스 의사가 아버지를 떠나보내며 깨달은 삶의 의미,아버지의 죽음 앞에서,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791190538381,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서15,120원[10%↓ +5% 적립]|eBook11,500원","지금 주문하면내일(22일,금)도착 예정입니다",레이첼클라크,메이븐,2021년10월04일
164,166,,제12회 젊은작가상 수상작품집(2021),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788954678407,"['오늘의책', '소득공제']","도서4,950원[10%↓ +5% 적립]|eBook3,900원","지금 주문하면내일(22일,금)도착 예정입니다",전하영김멜라김지연김혜진박서련,문학동네,2021년04월07일
165,167,,멋진 신세계,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788973814725,"['무료배송', '이벤트', 'MD의 선택', 'sam', '소득공제']","도서12,420원[10%↓ +5% 적립]|eBook8,280원","지금 주문하면내일(22일,금)도착 예정입니다",올스헉슬리,소담출판사,2015년06월12일
166,168,이꽃님 장편소설,죽이고 싶은 아이(우리학교 소설 읽는 시간),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791190337755,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서11,250원[10%↓ +5% 적립]|eBook8,750원","지금 주문하면내일(22일,금)도착 예정입니다",이꽃님,우리학교,2021년06월07일
167,169,최진영 소설,구의 증명(은행나무 노벨라 7),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788956608556,"['MD의 선택', '소득공제']","도서7,200원[10%↓ +5% 적립]|eBook7,200원","지금 주문하면내일(22일,금)도착 예정입니다",최진영,은행나무,2015년03월30일
168,170,,알사탕(그림책이 참 좋아 39)(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791158360375,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서10,800원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",백희나,책읽는곰,2017년03월25일
169,171,,이명이 사라지는 순간,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191283921,"['무료배송', '소득공제']","도서13,500원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",김혜연이희창,라온북,2021년10월18일
170,172,술술 잘 읽히는 첫아기 잘 키우는법,임신 출산 육아 대백과(2021~2022)(개정판),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788915107908,"['무료배송', '소득공제']","도서17,550원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",삼성출판사편집부,삼성출판사,2021년07월31일
171,173,정유정 장편소설,종의 기원,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788956609959,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서11,700원[10%↓ +5% 적립]|eBook9,100원","지금 주문하면내일(22일,금)도착 예정입니다",정유정,은행나무,2016년05월16일
172,174,,마법천자문. 51: 찬란하게 빛나라! 빛날 휘,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788950995904,"['무료배송', 'MD의 선택', '소득공제']","도서10,800원[10%↓ +5% 적립]|eBook9,600원","지금 주문하면내일(22일,금)도착 예정입니다",유대영,아울북,2021년07월12일
173,175,긴 세월 반짝이는 생명,귀멸의 칼날. 23(완결),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791134882761,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서4,500원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",고토게코요하루,학산문화사,2021년04월25일
174,176,우리가 사소한 일에 흥분하는 이유,모기 뒤에 숨은 코끼리,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788947547444,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서15,120원[10%↓ +5% 적립]|eBook13,440원","지금 주문하면내일(22일,금)도착 예정입니다",에른스트프리트하니슈에바분러,한국경제신문,2021년08월20일
175,177,,시크릿(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788952206503,"['무료배송', 'MD의 선택', '소득공제']","도서12,420원[10%↓ +5% 적립]|eBook9,000원","지금 주문하면내일(22일,금)도착 예정입니다",론다번,살림Biz,2007년06월18일
176,178,새로운 부와 힘을 탄생시킬 8가지 거대한 물결,2030 축의 전환,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788901246086,"['무료배송', '이벤트', 'MD의 선택', 'sam', '소득공제']","도서16,200원[10%↓ +5% 적립]|eBook11,340원","지금 주문하면내일(22일,금)도착 예정입니다",마우로옌,리스북,2020년10월16일
177,179,김달 에세이,헤맨다고 모두 길을 잃는 것은 아니다,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791191825046,"['무료배송', 'MD의 선택', '소득공제']","도서13,950원[10%↓ +5% 적립]|eBook10,850원","지금 주문하면내일(22일,금)도착 예정입니다",김달,빅피시,2021년07월28일
178,180,100만 왕초보가 감동한 최고의 주식투자 입문서,주식투자 무작정 따라하기(2020)(개정판),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791165210144,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서16,200원[10%↓ +5% 적립]|eBook12,600원","지금 주문하면내일(22일,금)도착 예정입니다",윤재수,길벗,2020년01월10일
179,181,슈퍼리치의 서재에서 찾아낸 부자의 길,부의 인문학,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788995563502,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서13,500원[10%↓ +5% 적립]|eBook10,000원","지금 주문하면내일(22일,금)도착 예정입니다",브라운스톤(우석),오픈마인드,2019년10월04일
180,182,자연의 기쁨을 삶에 들이는 시간,THE KINFOLK GARDEN(킨포크 가든)(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791155814017,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서29,700원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",존번스,윌북,2021년10월01일
181,183,300만 살 도시공룡 브라키오의 일상 탐험,우리는 조구만 존재야,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791165213497,"['무료배송', '이벤트', '오늘의책', '소득공제']","도서12,150원[10%↓ +5% 적립]|eBook9,450원","지금 주문하면내일(22일,금)도착 예정입니다",조구만스튜디오,퀘스트,2020년12월11일
182,184,지금껏 설명하지 못한 투자의 신세계,복잡계 세상에서의 투자,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791190977357,"['무료배송', '오늘의책', 'sam', '소득공제']","도서15,300원[10%↓ +5% 적립]|eBook12,000원","지금 주문하면내일(22일,금)도착 예정입니다",오종태,페이지2북스,2021년08월27일
183,185,,마음챙김의 시,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791190382267,"['무료배송', '오늘의책', '소득공제']","도서11,700원[10%↓ +5% 적립]|eBook9,500원","지금 주문하면내일(22일,금)도착 예정입니다",류시화(엮음)루이즈글릭외,수오서재,2020년09월17일
184,186,지혜를 찾아 138억 년을 달리는 시간 여행서,지적 대화를 위한 넓고 얕은 지식: 제로 편,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791190313131,"['무료배송', '오늘의책', 'sam', '소득공제']","도서17,820원[10%↓ +5% 적립]|eBook13,800원","지금 주문하면내일(22일,금)도착 예정입니다",채사장,웨일북(whalebooks),2019년12월24일
185,187,,어린이 수수께끼(읽으면서 바로 써먹는)(맛있는 공부 31),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791158681746,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서10,800원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",한날,파란정원,2020년05월20일
186,188,레버리지가 아니면 평범한 인생을 바꿀 수 없다,라오어의 미국주식 무한매수법,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791165795788,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서14,400원[10%↓ +5% 적립]|eBook11,200원","지금 주문하면내일(22일,금)도착 예정입니다",라오어,알키,2021년06월02일
187,189,,초역 니체의 말(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788978496155,"['무료배송', 'MD의 선택', '소득공제']","도서12,600원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",프리드리히니체시라토리하루히코(엮음),삼호미디어,2020년03월10일
188,190,,소설 보다: 가을 2021,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788932039022,"['MD의 선택', '소득공제']","도서3,150원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",구소현권혜영이주란,문학과지성사,2021년09월13일
189,191,당신의 하루를 바꾸는 기적 아침 6분이면 충분하다,미라클모닝,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791157841110,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서10,800원[10%↓ +5% 적립]|eBook8,400원","지금 주문하면내일(22일,금)도착 예정입니다",할엘로드,한빛비즈,2016년02월22일
190,192,1%의 가치를 혁신으로 만드는 작은 거인의 건설 현장 노트,더 나은 내일을 건설합니다,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791187831105,"['무료배송', '소득공제']","도서13,500원[10%↓ +5% 적립]",지금 주문하면10월 23일 출고 예정입니다,김경수,에이블북(ABLEBOOK),2021년10월18일
191,193,한 권으로 현실 세계를 통달하는 지식 여행서,지적 대화를 위한 넓고 얕은 지식. 1,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791190313186,"['무료배송', 'MD의 선택', 'sam', '소득공제']","도서14,400원[10%↓ +5% 적립]|eBook11,200원","지금 주문하면내일(22일,금)도착 예정입니다",채사장,웨일북(whalebooks),2020년02월05일
192,194,어디서부터 공부해야 할지 막막한 당신에게,재개발 투자의 정석,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788969524799,"['무료배송', '소득공제']","도서16,200원[10%↓ +5% 적립]",지금 주문하면10월 23일 출고 예정입니다,서쪽도사(우은제),경향BP,2021년10월22일
193,195,,데미안(세계문학전집 44),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788937460449,"['이벤트', 'MD의 선택', '소득공제']","도서7,200원[10%↓ +5% 적립]|eBook5,600원","지금 주문하면내일(22일,금)도착 예정입니다",헤르만헤세,민음사,2009년01월20일
194,196,,순례자의 길(개정판 2판)(기독교 영성 시리즈),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9798972363117,"['무료배송', 'sam', '소득공제']","도서13,500원[10%↓ +5% 적립]|eBook15,000원","지금 주문하면내일(22일,금)도착 예정입니다",무명의순례,은성,2003년10월09일
195,197,,열두 살 장래 희망(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788936448035,"['무료배송', '오늘의책', '소득공제']","도서11,700원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",박성우,창비,2021년07월23일
196,198,본질에 집중하는 힘,에센셜리즘,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9788925553375,"['무료배송', '이벤트', '오늘의책', 'sam', '소득공제']","도서13,500원[10%↓ +5% 적립]|eBook10,500원","지금 주문하면내일(22일,금)도착 예정입니다",그렉맥커운,알에이치코리아,2014년09월19일
197,199,ETF만으로도 꼬박꼬박 연 40% 수익 내는 법,부의 시작,http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791165216955,"['무료배송', '이벤트', 'MD의 선택', '소득공제']","도서18,900원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",박민수,길벗,2021년10월03일
198,200,,베서니와 괴물의 복수(베서니와 괴물 시리즈 2)(양장본 HardCover),http://www.kyobobook.co.kr/product/detailViewKor.laf?mallGb=KOR&ejkGb=KOR&barcode=9791130641003,"['무료배송', 'MD의 선택', '소득공제']","도서12,600원[10%↓ +5% 적립]","지금 주문하면내일(22일,금)도착 예정입니다",잭메트-필립스,요요,2021년09월30일
